Product,date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS
0,2017-02-05,27750,0.0,0,0,0,0.0,0,0,0,0
0,2017-02-19,45630,17.0,0,0,0,0.0,0,0,0,0
0,2017-02-26,26789,0.0,1,0,1,0.0,0,0,0,0
0,2017-03-05,41999,17.0,0,0,0,0.0,0,0,0,0
0,2017-03-12,29731,0.0,0,0,0,0.0,0,0,0,0
0,2017-03-19,27365,0.0,1,0,0,0.0,0,0,0,0
0,2017-03-26,27722,0.0,1,0,1,0.0,0,0,0,0
0,2017-04-02,44339,17.0,1,0,0,0.0,0,0,0,0
0,2017-04-23,30361,0.0,1,0,1,0.0,0,0,0,0
0,2017-04-30,42154,17.0,1,0,1,0.0,0,0,0,0
0,2017-05-07,39782,17.0,0,0,0,0.0,0,0,0,0
0,2017-05-14,29490,0.0,0,0,0,0.0,0,0,0,0
0,2017-05-21,25936,0.0,0,0,0,0.0,0,0,0,0
0,2017-05-28,26045,0.0,0,0,0,0.0,0,0,0,0
0,2017-06-04,25903,0.0,1,0,1,0.0,0,0,0,0
0,2017-06-11,43689,17.0,0,0,0,0.0,0,0,0,0
0,2017-06-18,25446,0.0,1,0,1,0.0,0,0,0,0
0,2017-06-25,42543,17.0,0,0,0,0.0,0,0,0,0
0,2017-07-02,27001,0.0,1,0,1,0.0,0,0,0,0
0,2017-07-09,45198,17.0,0,0,0,0.0,0,0,0,0
0,2017-07-16,28650,0.0,1,0,1,0.0,0,0,0,0
0,2017-07-23,42032,17.0,0,0,0,0.0,0,0,0,0
0,2017-07-30,27657,0.0,0,0,0,0.0,0,0,0,0
0,2017-08-06,26888,0.0,1,0,1,0.0,0,0,0,0
0,2017-08-13,46260,17.0,0,0,0,0.0,0,0,0,0
0,2017-08-20,29415,0.0,1,0,1,0.0,0,0,0,0
0,2017-08-27,50471,17.0,1,0,1,0.0,0,0,0,0
0,2017-09-03,49531,17.0,0,0,0,0.0,0,0,0,0
0,2017-09-10,30874,0.0,0,1,1,0.0,0,0,0,0
0,2017-09-17,82940,44.0,0,0,0,0.0,0,0,0,0
0,2017-09-24,34481,0.0,1,0,1,0.0,0,0,0,0
0,2017-10-08,31898,0.0,0,0,0,0.0,0,0,0,0
0,2017-10-15,33967,0.0,0,0,0,0.0,0,0,0,0
0,2017-10-22,33429,0.0,0,0,0,0.0,0,0,0,0
0,2017-10-29,34918,0.0,1,0,0,0.0,0,0,0,0
0,2017-11-12,57417,17.0,1,0,0,0.0,0,0,0,0
0,2017-11-19,60631,17.0,1,0,0,0.0,0,0,0,0
0,2017-11-26,64904,17.0,1,0,0,0.0,0,0,0,0
0,2017-12-10,71917,17.0,1,0,0,0.0,0,0,0,0
0,2018-01-07,41941,0.0,0,0,0,0.0,0,0,0,0
0,2018-01-14,37845,0.0,0,0,0,0.0,0,0,0,0
0,2018-01-21,43324,6.0,1,0,1,0.0,0,0,0,0
0,2018-01-28,65691,17.0,0,0,0,0.0,0,0,0,0
0,2018-02-04,35016,0.0,0,0,0,0.0,0,0,0,0
0,2018-02-18,55216,17.0,0,0,0,0.0,0,0,0,0
0,2018-02-25,33908,0.0,1,0,1,0.0,0,0,0,0
0,2018-03-04,51305,17.0,0,1,0,0.0,0,0,0,0
0,2018-03-18,51438,17.0,1,0,0,0.0,0,0,0,0
0,2018-03-25,54925,17.0,1,0,0,0.0,0,0,0,0
0,2018-04-01,79050,17.0,0,0,0,0.0,0,0,0,0
0,2018-04-15,34800,0.0,1,0,1,0.0,0,0,0,0
0,2018-04-22,56351,17.0,0,0,0,0.0,0,0,0,0
0,2018-04-29,34225,0.0,1,0,1,0.0,0,0,0,0
0,2018-05-06,49036,17.0,1,0,1,0.0,0,0,0,0
0,2018-05-13,52964,17.0,0,0,0,0.0,0,0,0,0
0,2018-05-20,34526,0.0,0,0,0,0.0,0,0,0,0
0,2018-05-27,33308,0.0,1,0,1,0.0,0,0,0,0
0,2018-06-03,49314,17.0,0,1,1,0.0,0,0,0,0
0,2018-06-10,84075,44.0,0,0,0,0.0,0,0,0,0
0,2018-06-17,32223,0.0,0,0,0,0.0,0,0,0,0
0,2018-06-24,32463,0.0,1,0,1,0.0,0,0,0,0
0,2018-07-01,51818,17.0,0,0,0,0.0,0,0,0,0
0,2018-07-08,35597,0.0,0,0,0,0.0,0,0,0,0
0,2018-07-15,35354,0.0,0,0,0,0.0,0,0,0,0
0,2018-07-22,35191,0.0,0,0,0,0.0,0,0,0,0
0,2018-07-29,33057,0.0,0,0,0,0.0,0,0,0,0
0,2018-08-05,32373,0.0,0,0,0,0.0,0,0,0,0
0,2018-08-12,31850,0.0,0,0,0,0.0,0,0,0,0
0,2018-08-19,31772,0.0,0,0,0,0.0,0,0,0,0
0,2018-08-26,29976,0.0,1,0,0,0.0,0,0,0,0
0,2018-09-02,52126,17.0,1,0,0,0.0,0,0,0,0
0,2018-09-09,48279,17.0,0,1,0,0.0,0,0,0,0
0,2018-09-23,49548,17.0,1,0,0,0.0,0,0,0,0
0,2018-09-30,67966,17.0,0,0,0,0.0,0,0,0,0
0,2018-10-07,33433,0.0,0,0,0,0.0,0,0,0,0
0,2018-10-14,31482,0.0,0,0,0,0.0,0,0,0,0
0,2018-10-21,32196,0.0,0,0,0,0.0,0,0,0,0
0,2018-10-28,32717,0.0,0,1,1,0.0,0,0,0,0
0,2018-11-11,51495,17.0,1,0,1,0.0,0,0,0,0
0,2018-11-18,52048,17.0,0,1,1,0.0,0,0,0,0
0,2018-11-25,52532,17.0,1,0,1,0.0,0,0,0,0
0,2018-12-16,80431,28.0,0,1,1,0.0,0,0,0,0
0,2019-01-06,40420,0.0,0,0,0,0.0,0,0,0,0
0,2019-01-13,34603,0.0,1,0,1,0.0,0,0,0,0
0,2019-01-20,48759,17.0,1,0,1,0.0,0,0,0,0
0,2019-01-27,58215,17.0,0,0,0,0.0,0,0,0,0
0,2019-02-03,30561,0.0,0,0,0,0.0,0,0,0,0
0,2019-02-17,48001,17.0,0,0,0,0.0,0,0,0,0
0,2019-02-24,30016,0.0,0,0,0,0.0,0,0,0,0
0,2019-03-03,30502,0.0,0,0,0,0.0,0,0,0,0
0,2019-03-10,32103,0.0,0,0,0,0.0,0,0,0,0
0,2019-03-17,29664,0.0,0,0,0,0.0,0,0,0,0
0,2019-03-24,28997,0.0,1,0,0,0.0,0,0,0,0
0,2019-03-31,52930,17.0,1,0,0,0.0,0,0,0,0
0,2019-04-14,59375,17.0,0,1,0,0.0,0,0,0,0
0,2019-04-28,31741,0.0,1,0,1,0.0,0,0,0,0
0,2019-05-05,43820,17.0,1,0,1,0.0,0,0,0,0
0,2019-05-12,46628,17.0,0,0,0,0.0,0,0,0,0
0,2019-05-19,28457,0.0,1,0,1,0.0,0,0,0,0
